"OPERATION";"Unique concatenate(RESRCE)";"Unique count(RESRCE)";"Unique count(WORK_CENTER)";"Unique concatenate(WORK_CENTER)";"Unique concatenate(ROUTER)";"Unique count(ROUTER)";"Mean(ELAPSED_TIME)";"Max(ELAPSED_TIME)";"Min(ELAPSED_TIME)";"Mean(ELAPSED_QUEUE_TIME)";"Max(ELAPSED_QUEUE_TIME)";"Min(ELAPSED_QUEUE_TIME)"
"A120400";"6699, 6697, 6698, 5170, 5169, 5171, 5167, 5168, 5166, 5292, 5303, 5302, 5869, 5873, 5874";15;7;"A120104, A120102, A120101, A12, A1201, A1203, A1204";"A00PDR0001";1;34257.03201829615;1925981;24620;428006.1211448502;345072000;11000
"A12N010";"5043";1;1;"A1201";"A12SPR0002";1;2.316666666666665;7;1;1557749.4999999995;15128897;227070
"A130100";"5875, 5876";2;1;"A130201";"A00PDR0001, A13SPR0002, A13NCR0005";3;20.742459396751734;273;3;34577922.2157773;107698350;10390
"A130200";"5875, 5876";2;1;"A130201";"A13PDR0002";1;5.113689095127612;32;2;867.0881670533639;2324;249
"A130300";"5180";1;1;"A1302";"A13PDR0002";1;4.1591511936339485;14;3;163803.36074270547;5236296;15822
"A130400";"5180";1;1;"A1302";"A13PDR0002";1;17797.398351648357;60447;16167;39975.27472527475;3634000;0
"A130500";"5180";1;1;"A1302";"A13PDR0002";1;4.176795580110496;14;3;84386.50828729279;5217024;6293
"A130600";"5181, 5233, 5234";3;2;"A1302, A1301";"A13PDR0002, A13PDR0001";2;16075.040548863893;80594;11071;1667108.677799047;345819000;2000
"A136100";"5237, 5238, 5583, 5584";4;1;"A1301";"A13PDR0001";1;46152.26412473485;31507870;25693;1670077.438622062;345808000;93000
"A136150";"6020";1;1;"A1301";"A13PDR0001";1;8256.988154375085;120064;7347;82181.1581616696;342438000;3000
"A136200";"5268, 5265";2;1;"A1301";"A13PDR0001";1;44762.351603762916;186973135;2669;301810.48655076895;187109000;13000
"A136300";"5270";1;1;"A1301";"A13PDR0001";1;5138.273955299752;6674257;4028;122268.41163467815;32057000;26000
"A136400";"5180, 5271";2;2;"A1302, A1301";"A13PDR0002, A13PDR0001";2;8663.844499930547;17667;1899;59703.01012623085;343247000;0
"A139050";"7370";1;1;"A1301";"A13PDR0001, A13NCR0004, A13NCR0009, A13NCR0006";4;4.523332761872057;68;2;2450.7390365163205;30069067;103
"A139100";"7371, 5271, 5270";3;1;"A1301";"A13PDR0001, A13NCR0006, A13NCR0005, A13NCR0004, A13NCR0013, A13NCR0009, A13NCR0001";7;4.458830731557961;100;2;310407.780090463;342423782;163
"A139200";"5050";1;1;"A1301";"A13PDR0001";1;4.539637776524383;178;3;335415.5052328116;186782938;19286
"A139250";"5050";1;1;"A1301";"A13PDR0001";1;4.422408963585422;40;2;288798.0056022415;342507844;10314
"A13N010";"5050";1;1;"A1301";"A13NCR0008, A13NCR0006, A13NCR0004, A13NCR0005, A13NCR0013, A13NCR0007, A13NCR0001";7;4.664285714285711;55;2;691138.751428571;29569486;18326
"A13N030";"5118";1;1;"A1302";"A13SPR0002";1;12315.166666666666;20441;8911;0;0;0
"A140100";"5050, 5341";2;2;"A1301, A1401";"A14PDR0001";1;4.389220819217726;42;2;18080.95866954106;32666409;540
"A140300";"5577";1;1;"A1402";"A14PDR0001";1;18273.448985901665;4352352;1775;123353.38857284193;187343000;5000
"A140400";"5346";1;1;"A1402";"A14PDR0001";1;19367.0909708079;7966364;7082;20575.510707893594;3226000;1000
"A140500";"5347";1;1;"A1402";"A14PDR0001";1;63541.17522658617;7964476;9848;49010.574018126936;2335000;1000
"A140600";"5220";1;1;"A1403";"A14PDR0001";1;10770.585076104395;2422143;3506;6602.895681227519;8258000;1000
"A140850";"5239";1;1;"A1404";"A14PDR0001";1;17254.433281685586;6442733;8127;7808.428881313847;4286000;4000
"A140950";"5352";1;1;"A1404";"A14PDR0001";1;33870.564653299036;4067837;3957;504.25228133341454;68000;0
"A14N020";"5353";1;1;"A1405";"A14SPR0002";1;799.7781250000004;3139;131;0;0;0
"A160100";"5366";1;1;"A16";"A16PDR0001";1;1467.5544554455448;4198;791;17851.48514851486;1702000;0
"A160200";"5366";1;1;"A16";"A16PDR0001";1;1534.230000000001;2162;1021;30;1000;0
"A180100";"238";1;1;"A010301";"A18SPR0001, A01PDR0030";2;22016.900340301334;207190;18913;814617.5012153629;8378283000;0
"A210100";"7123";1;1;"A2101";"A21NCR0003";1;4.128205128205128;13;3;671.076923076923;1708;151
"A210200";"7123";1;1;"A2101";"A21NCR0004";1;4.141573033707867;14;3;751.2404494382026;2382;117
"ENTRY";"6699, 6698, 6697, 5169, 5167, 5166, 5168, 5171, 5875, 5506, 5593, 5271, 5599, 5600, 7371, 5595, 5170, 5270, 5587, 5596, 5594, 5604, 5585, 5602, 5180, 5598, 5603, 5588, 5601, 5597, 5589, 5164, 5165, 5163, 6702, 6701, 6700";37;10;"A120104, A120102, A120101, A130201, A060103, A130101, A1301, A1302, A120103, A120105";"A12SPR0002, A13NCR0013, A13NCR0005, A06PDR0001, A13NCR0006, A13NCR0004, A13NCR0011";7;3.583786544875458;37;2;584.0147231152808;5348;38
"I010100";"SR12_A2_A80_1, 5722, SR12_A2_A80_2";3;2;"I0103, I0102";"I01PDR0002";1;13937.818088386417;36336;12650;467424.46043165505;432486000;0
"I010200";"5722";1;1;"I0102";"I01PDR0002";1;4.357594936708862;27;3;2715.313291139238;62069;1778
"I050100";"5723";1;1;"I05";"I05PDR0001";1;4221.494780793329;11281;3251;741.1273486430046;35000;0
